rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Aaron Nesmith,Ind,G-F,24.7,17,32.9,14.6,14,37,0.919,62,0.629,79,0.278,0.511,0.566,10.5,4.9,2.2,0.6,0.5,1.4,15.4,12.6,17.6,5.9,112.1,111.4,2023-2024
,Cole Anthony,Orl,G,24.1,7,14.7,21.3,10.8,9,0.889,28,0.393,13,0.154,0.341,0.4,5.1,2.1,1.3,0.6,0.1,0.7,7.3,6.4,8.6,6.5,88.1,96.9,2023-2024
,Tyrese Maxey,Phi,G,23.6,6,44.6,28.1,8.6,28,0.893,83,0.53,55,0.4,0.558,0.595,29.8,5.2,6.8,0.8,0.3,2.2,35,36.7,41.8,9.1,120.9,113.3,2023-2024
,Josh Green,Dal,G,23.6,22,18.1,11.4,7.6,19,0.737,26,0.5,59,0.39,0.559,0.584,5,2.5,1,0.8,0.1,0.3,7.5,6,8.5,5.1,126.2,111.1,2023-2024
,Jaden McDaniels,Min,F,23.7,16,33.6,14.6,10.8,35,0.771,84,0.571,56,0.429,0.6,0.627,12.2,3.8,1.1,0.9,1.1,1.1,16,13.3,17.1,4.4,121.5,104.9,2023-2024
,Jalen Smith,Ind,F-C,24.3,7,6,16.6,32.6,8,0.625,4,0.25,4,0.5,0.5,0.564,1.9,2,0.3,0.3,0.1,0.6,3.9,2.1,4.1,7,109,100.4,2023-2024
,Zeke Nnaji,Den,F-C,23.4,3,4.7,19.3,38.3,2,0.5,3,0.667,0,0,0.667,0.644,1.7,0.7,0,0,0.3,0.7,2.3,1.7,2.3,0,92.6,115.4,2023-2024
,Paul Reed,Phi,F,25,6,7.2,13.8,24.5,2,0.5,9,0.444,0,0,0.444,0.455,1.5,2.7,0.3,0.2,0.5,0.5,4.2,1.8,4.5,5.9,105.8,99.7,2023-2024
,Isaiah Joe,Okc,G,25,10,17.3,15.5,8.5,0,0,15,0.533,39,0.41,0.593,0.593,6.4,2.2,1,0.5,0,0.5,8.6,7.4,9.6,5.6,114.6,111.4,2023-2024
,Payton Pritchard,Bos,G,26.4,19,18.7,16.3,11.7,12,0.917,45,0.467,60,0.383,0.529,0.553,6.4,1.9,2.1,0.2,0,0.7,8.4,8.5,10.5,6.3,117.5,111.2,2023-2024
,Naji Marshall,Nor,F,26.4,4,21,17,6.6,6,1,13,0.462,15,0.4,0.536,0.587,9,2.8,1.3,0.5,0.5,0.5,11.8,10.3,13,6.1,122.3,106.4,2023-2024
,Sam Merrill,Cle,G,28.1,10,12.5,11.3,0,3,1,2,0,27,0.37,0.517,0.544,3.3,1.2,0.9,0,0,0,4.5,4.2,5.4,4.9,125.7,112.3,2023-2024
,Lindy Waters III,Okc,F,26.9,3,2.8,5.4,0,0,0,0,0,1,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0,0,2023-2024
,Matt Ryan,Nor,F,27.2,1,2.5,35,50,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2023-2024
,Jeremiah Robinson-Earl,Nor,F,23.6,1,5.3,23.8,0,2,0,2,0.5,0,0,0.5,0.347,2,1,1,0,0,0,3,3,4,9.5,99.9,122.7,2023-2024
,Brandon Boston Jr.,Lac,G,22.6,3,3.2,22.9,0,2,0.5,4,0.5,0,0,0.5,0.512,1.7,0.7,0.3,0,0,0,2.3,2,2.7,8.9,0,0,2023-2024
,Herbert Jones,Nor,G,25.7,4,35.2,17.8,21,12,1,17,0.471,24,0.333,0.488,0.562,13,5,2.5,1.3,0.3,2.8,18,15.5,20.5,6.2,103.7,105.7,2023-2024
,Trey Murphy III,Nor,F,24,4,42,14.6,14.3,0,0,18,0.444,30,0.333,0.479,0.479,11.5,6.5,2.3,1.3,1.5,2,18,13.8,20.3,5.3,91.8,108.8,2023-2024
,Franz Wagner,Orl,F,22.8,7,37.1,22.2,8,44,0.886,69,0.478,34,0.265,0.451,0.539,18.9,6.9,4.4,0.7,1.3,1.3,25.7,23.3,30.1,9,118.7,106.3,2023-2024
,Bones Hyland,Lac,G,23.8,3,4,37.4,11.8,4,1,2,1,5,0.2,0.5,0.628,3.7,0.7,1.3,0,0,0.3,4.3,5,5.7,15,134.2,120.4,2023-2024
,Miles McBride,Nyk,G,23.8,13,26.7,17.8,8.1,12,0.833,56,0.518,68,0.368,0.536,0.553,11,2.2,1.9,0.5,0.2,0.8,13.2,12.9,15.2,5.4,115.2,110.7,2023-2024
,Isaiah Jackson,Ind,F,22.4,15,10.2,16.2,8.5,18,0.611,43,0.535,0,0,0.535,0.56,3.8,3.2,0.5,0.2,0.9,0.3,7,4.3,7.5,7.2,124.9,105.3,2023-2024
,Austin Reaves,Lal,G,26.1,5,34.8,20,5.9,19,0.895,37,0.622,26,0.269,0.532,0.589,16.8,3.8,3.6,1.4,0.6,0.8,20.6,20.4,24.2,7,123.7,114.2,2023-2024
,Luka Garza,Min,C,25.5,7,3.7,27.4,0,8,0.875,9,0.889,3,0.667,0.917,0.934,4.1,0.9,0.1,0,0,0,5,4.3,5.1,7.8,0,0,2023-2024
,Sam Hauser,Bos,F,26.5,19,14.9,14.6,3.4,4,1,13,0.692,71,0.38,0.589,0.601,5.4,2.2,0.6,0.3,0.2,0.2,7.6,6,8.2,5.2,124.9,108.2,2023-2024
,Jericho Sims,Nyk,C,25.7,5,5.5,6,0,4,0.75,2,1,0,0,1,0.931,1.4,1.6,0.2,0.4,0.2,0,3,1.6,3.2,5.6,194.7,109.4,2023-2024
,Josh Giddey,Okc,G,21.7,10,18.1,22.8,13.7,8,0.875,41,0.537,34,0.353,0.533,0.554,8.7,3.6,2.1,0.2,0.4,1.2,12.3,10.8,14.4,8.9,107.9,111.3,2023-2024
,Jalen Suggs,Orl,G,23,7,33.2,21.8,19.5,30,0.767,34,0.559,48,0.292,0.488,0.541,14.7,5.1,3.3,1.3,0.4,2.9,19.9,18,23.1,7.6,103.4,106,2023-2024
,Evan Mobley,Cle,C,23,12,35.2,20.3,13.1,36,0.694,128,0.594,18,0.278,0.572,0.593,16,9.3,2.3,0.8,2.2,1.8,25.3,18.3,27.6,7.9,114.5,106.3,2023-2024
,Aaron Wiggins,Okc,G,25.5,10,15.7,17.7,16,11,0.909,27,0.63,20,0.3,0.553,0.598,6.2,3.2,1,0.6,0.3,0.9,9.4,7.2,10.4,6.9,113.8,110.1,2023-2024
,E.J. Liddell,Nor,F,23.5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2023-2024
,Jose Alvarado,Nor,G,26.2,4,15.4,17.1,16.7,0,0,6,0.333,14,0.071,0.175,0.175,1.8,1,2.3,1.3,0.3,1,2.8,4,5,4.2,53.7,110.2,2023-2024
,A.J. Lawson,Dal,G,23.9,10,3,15,0,2,0.5,3,0.667,6,0.333,0.556,0.557,1.1,0.3,0,0,0.1,0,1.4,1.1,1.4,0,0,0,2023-2024
,MarJon Beauchamp,Mil,F,23.7,4,2.5,27.6,19.2,2,0.5,2,0.5,2,0,0.25,0.307,0.8,0.3,0.5,0,0,0.3,1,1.3,1.5,7.9,0,0,2023-2024
,Dyson Daniels,Nor,G,21.3,3,5.7,18,14.3,0,0,4,0.5,2,0,0.333,0.333,1.3,0.7,0,0.7,0,0.3,2,1.3,2,0,58.6,111.9,2023-2024
,Jaden Hardy,Dal,G,22,19,6.8,28.8,9.3,15,0.733,41,0.439,27,0.407,0.507,0.536,4.2,0.8,0.9,0.2,0,0.4,5,5.1,5.9,8.5,109,108.7,2023-2024
,Paolo Banchero,Orl,F,21.6,7,37.5,33.9,17.6,49,0.755,109,0.477,40,0.4,0.51,0.554,27,8.6,4,1.1,0.6,4.6,35.6,31,39.6,10.4,102.2,107.4,2023-2024
,Chet Holmgren,Okc,C,22.1,10,34.5,20.2,13.7,33,0.758,69,0.667,50,0.26,0.55,0.584,15.6,7.2,2.1,0.7,2.5,1.9,22.8,17.7,24.9,7.2,110.7,107.5,2023-2024
,Nikola Jovic,Mia,F,21,5,25.7,17.2,14.2,7,0.857,14,0.5,22,0.409,0.569,0.601,9.4,6.6,2.2,1,0.6,1.2,16,11.6,18.2,8,113.3,104.1,2023-2024
,Wendell Moore Jr.,Min,G,22.7,6,3.1,19.7,12.5,0,0,3,0.667,4,0.25,0.5,0.5,1.2,0.3,0.3,0.2,0,0.2,1.5,1.5,1.8,6.1,0,0,2023-2024
,Kendall Brown,Ind,G,21.1,7,3.5,16.5,33.3,0,0,6,0.333,0,0,0.333,0.333,0.6,0.4,0.3,0,0.1,0.4,1,0.9,1.3,4.8,0,0,2023-2024
,Jalen Williams,Okc,F,23.2,10,37.7,23.1,10.6,27,0.815,121,0.496,39,0.385,0.516,0.544,18.7,6.8,5.4,1.7,0.5,1.9,25.5,24.1,30.9,9.4,112.7,109.3,2023-2024
,Orlando Robinson,Mia,C,23.9,1,2.5,19.6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,2023-2024
,Jaylin Williams,Okc,F,22,10,12.7,13.6,8.3,4,0.75,11,0.636,22,0.409,0.621,0.633,4.4,3.2,1.5,0.4,0.3,0.3,7.6,5.9,9.1,8.7,132.4,104,2023-2024
,Julian Strawther,Den,G,22.2,3,5.3,25.5,13.9,4,0.5,2,0.5,4,0.25,0.417,0.451,2.3,0.7,0,0.3,0,0.3,3,2.3,3,0,82.1,94.2,2023-2024
,Christian Braun,Den,G,23.2,12,17,13.9,1.8,16,0.688,36,0.528,18,0.222,0.463,0.5,5.1,2.7,0.8,0.2,0.4,0.1,7.8,5.8,8.5,5.2,115,109.6,2023-2024
,Leonard Miller,Min,F,20.6,3,2.3,6.7,0,0,0,0,0,1,0,0,0,0,1.3,0,0,0,0,1.3,0,1.3,0,0,0,2023-2024
,Josh Minott,Min,F,21.6,5,3.6,22.6,0,0,0,4,0,5,0.4,0.333,0.333,1.2,1,0.6,0,0,0,2.2,1.8,2.8,10,0,0,2023-2024
,Jaime Jaquez Jr.,Mia,G,23.3,4,30.6,24.8,11.8,7,0.857,39,0.462,13,0.231,0.433,0.463,12.8,3.3,3,0.8,0.5,1.8,16,15.8,19,6.6,93.1,111.7,2023-2024
,Ousmane Dieng,Okc,F,21.1,4,1.8,12.5,0,0,0,1,1,1,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,2023-2024
,Peyton Watson,Den,G,21.8,10,9,15.1,11,6,0.5,12,0.25,12,0.25,0.313,0.338,1.8,1.5,0.4,0,0.6,0.3,3.3,2.2,3.7,4.6,75.9,107.7,2023-2024
,Caleb Houstan,Orl,G,21.4,3,4.7,6.3,0,0,0,0,0,2,0.5,0.75,0.75,1,0.7,0,0,0,0,1.7,1,1.7,0,158,118,2023-2024
,AJ Green,Mil,G,24.7,6,11.2,12.5,5.7,3,1,5,0.8,11,0.182,0.438,0.491,2.8,1.5,0.3,0,0,0.2,4.3,3.2,4.7,3.9,101.1,106.7,2023-2024
,Anthony Black,Orl,G,20.4,2,5.4,32.5,12.5,0,0,5,0.6,2,0,0.429,0.429,3,1,1,0.5,0,0.5,4,4,5,10.7,93.7,101.3,2023-2024
,Jarace Walker,Ind,F,20.8,9,3.4,25.4,36.8,3,0.667,7,0.429,3,0,0.3,0.353,0.9,0.4,0.4,0.2,0.1,0.7,1.3,1.3,1.8,6.2,0,0,2023-2024
,Cason Wallace,Okc,G,20.6,10,19.8,10.6,8.8,2,0.5,13,0.538,28,0.321,0.5,0.501,4.2,1.3,1,0.9,0.2,0.4,5.5,5.2,6.5,3.6,108,111.5,2023-2024
,Jordan Hawkins,Nor,G,22.1,3,3.8,15.2,0,0,0,1,0,3,0,0,0,0,0.7,0,0,0,0,0.7,0,0.7,0,0,0,2023-2024
,Jett Howard,Orl,G,20.8,2,4.9,22.4,40,0,0,2,0.5,1,1,0.833,0.833,2.5,0.5,0.5,0,0,1,3,3,3.5,7,91.9,106,2023-2024
,Dereck Lively II,Dal,C,20.3,21,22,14.1,18.1,61,0.59,94,0.67,1,1,0.679,0.677,7.9,7.4,1.3,0.4,1,1,15.3,9.1,16.6,7.7,132.9,105.1,2023-2024
,Kobe Brown,Lac,F,24.5,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0.7,0,0,0,2023-2024
,Andre Jackson Jr.,Mil,G,22.6,5,11.9,10.8,21.4,0,0,5,0.6,6,0.333,0.545,0.545,2.4,2.2,2,1,0.2,0.6,4.6,4.4,6.6,7.4,123.9,98.8,2023-2024
,Chris Livingston,Mil,F,20.7,2,3.1,17.2,0,3,0,1,1,0,0,1,0.431,1,0,0,0,0,0,1,1,1,0,0,0,2023-2024
,Olivier-Maxence Prosper,Dal,F,22,3,3,10.2,0,0,0,2,0,0,0,0,0,0,1,0.3,0,0,0,1,0.3,1.3,0,0,0,2023-2024
,Ben Sheppard,Ind,G,22.9,17,19.7,11.6,13.4,9,0.778,21,0.571,50,0.38,0.57,0.587,5.2,3,1,0.5,0.1,0.6,8.2,6.2,9.2,5.1,112.8,113.5,2023-2024
,Hunter Tyson,Den,F,24,3,4.6,19.7,19.2,2,0.5,1,0,3,0,0,0.102,0.3,1,0.3,0,0,0.3,1.3,0.7,1.7,3.9,42.8,119.3,2023-2024
,Jordan Walsh,Bos,G,20.3,3,3.8,12.3,0,0,0,2,0.5,1,0,0.333,0.333,0.7,0.7,0,0,0,0,1.3,0.7,1.3,0,0,0,2023-2024
,Pascal Siakam,Ind,F,30.2,17,35.4,25.3,6.1,63,0.619,243,0.588,47,0.298,0.566,0.578,21.6,7.5,3.8,0.8,0.4,1.1,29.1,25.4,32.9,9.6,120.4,114.8,2023-2024
,Buddy Hield,Phi,G,31.5,4,12.8,18,10.3,2,1,4,0.25,13,0.462,0.588,0.615,5.5,1.3,0.5,0,0.3,0.5,6.8,6,7.3,4.8,117.8,114,2023-2024
,Cameron Payne,Phi,G,29.9,5,12.2,21.1,10.7,0,0,7,0.286,18,0.444,0.56,0.56,5.6,1.2,1.4,0.2,0.8,0.6,6.8,7,8.2,6.9,109.7,102.1,2023-2024
,Patrick Beverley,Mil,G,35.9,6,34.9,11.3,13.2,15,0.867,28,0.429,11,0.364,0.462,0.537,8.2,3.3,5.5,1,0.7,1,11.5,13.7,17,6.1,124.5,112.6,2023-2024
,Daniel Gafford,Dal,F-C,25.7,22,20.2,17.4,13.4,65,0.631,123,0.634,0,0,0.634,0.65,9,5.5,0.7,0.3,1.5,0.9,14.5,9.6,15.2,6.5,126.1,108.5,2023-2024
,P.J. Washington,Dal,F,25.8,22,35.7,16.8,12,55,0.709,99,0.535,135,0.348,0.528,0.554,13,6.6,1.4,0.7,0.8,1.5,19.6,14.4,21,5.5,108,109.3,2023-2024
,Royce O'Neale,Pho,F,31,4,26.1,10.8,8.3,0,0,4,0.25,18,0.333,0.455,0.455,5,4.8,1,0.3,0,0.5,9.8,6,10.8,4.4,103.5,108.8,2023-2024
,Bojan Bogdanovic,Nyk,F,35.2,4,12.7,24.4,4,7,0.571,9,0.111,15,0.4,0.417,0.443,6,3,1,0,0.3,0.3,9,7,10,8.3,102.8,110.4,2023-2024
,Alec Burks,Nyk,G,32.9,6,20.1,23.4,0,32,0.844,22,0.591,28,0.429,0.62,0.694,14.8,3.3,1,0.2,0.2,0,18.2,15.8,19.2,7.3,152.2,113.5,2023-2024
,Doug McDermott,Ind,F,32.5,10,6.4,8.5,8.3,0,0,3,0.667,8,0.375,0.591,0.591,1.3,0.3,0.7,0,0.2,0.1,1.6,2,2.3,4.1,132.5,119.9,2023-2024
,Monte Morris,Min,G,29,9,7.4,21.1,0,2,1,16,0.5,14,0.071,0.317,0.34,2.3,0.7,1,0.2,0.1,0,3,3.3,4,6.3,90.1,105.5,2023-2024
,Spencer Dinwiddie,Lal,G,31.2,5,14.6,11.2,6.6,6,0.5,6,0.5,8,0.25,0.429,0.451,3,1.4,1.6,0.4,0.2,0.2,4.4,4.6,6,5.2,108.1,109.6,2023-2024
,David Roddy,Pho,F,23.2,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024
,Kyle Lowry,Phi,G,38.2,6,29.3,11.2,11,15,0.8,8,0.375,24,0.333,0.469,0.544,7,3.5,4,1,0.7,0.7,10.5,11,14.5,6.3,128.1,105.2,2023-2024
,Gordon Hayward,Okc,F,34.2,7,6.6,3,0,0,0,3,0,0,0,0,0,0,1.9,0.4,0.1,0.1,0,1.9,0.4,2.3,0,76.5,108,2023-2024
,Xavier Tillman,Bos,F,25.4,8,8.6,7.7,26.2,1,1,7,0.571,1,1,0.688,0.711,1.5,1.8,0.4,0.4,0.4,0.4,3.3,1.9,3.6,4.8,122,102.4,2023-2024
,Jaden Springer,Bos,G,21.7,4,5.5,10.6,40,0,0,3,0.667,0,0,0.667,0.667,1,0.8,0.3,0,0.3,0.5,1.8,1.3,2,4.5,79.6,111.5,2023-2024
,Thaddeus Young,Pho,F,36,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024
,Danilo Gallinari,Mil,F,35.9,3,12.4,13.3,10.7,4,0.75,6,0.667,2,0,0.5,0.564,3.7,3,0.7,0,0,0.3,6.7,4.3,7.3,6.4,116.1,118.9,2023-2024
,Delon Wright,Mia,G,32.1,4,26.8,9.5,0,2,1,10,0.6,10,0.6,0.75,0.766,8,3,1.8,1,0.3,0,11,9.8,12.8,5.2,160.8,111.1,2023-2024
,Shake Milton,Nyk,G-F,27.7,4,5.5,17.2,0,6,0.833,4,0,2,0,0,0.289,1.3,0.3,0.5,0.3,0,0,1.5,1.8,2,4.2,84.6,119.5,2023-2024
,T.J. Warren,Min,F,30.8,3,3.8,8.1,0,0,0,1,0,1,0,0,0,0,1,0.3,0,0,0,1,0.3,1.3,0,0,0,2023-2024
,Patty Mills,Mia,G,35.9,3,17.2,18.8,5.5,4,0.75,6,0.5,11,0.273,0.441,0.48,6,0.3,1,0.3,0,0.3,6.3,7,7.3,2.8,102.8,115.7,2023-2024
,Marcus Morris Sr.,Cle,F,34.8,9,15.3,17.7,5.8,3,0.667,25,0.52,23,0.391,0.552,0.558,6.1,2.8,0.3,0.4,0,0.3,8.9,6.4,9.2,4.5,106.3,109.4,2023-2024
,Isaiah Thomas,Pho,G,35.4,1,3.6,39.1,33.3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-2024
,Mamadi Diakite,Nyk,F,27.4,4,3.7,14.4,22.5,2,1,1,0,2,0,0,0.258,0.5,0.8,0.3,0.3,0.3,0.3,1.3,0.8,1.5,5.3,0,0,2023-2024
,Precious Achiuwa,Tor,F,23.6,55,20.7,19.3,12.7,124,0.702,296,0.564,108,0.269,0.521,0.554,9.2,6,0.9,0.6,0.5,1.1,15.2,10.1,16.1,7.1,112.3,106.9,2022-2023
,Steven Adams,Mem,C,29.7,42,27,14.6,23.1,129,0.364,262,0.599,1,0,0.597,0.564,8.6,11.5,2.3,0.9,1.1,1.9,20.1,10.9,22.5,9,118.1,103.2,2022-2023
,Bam Adebayo,Mia,C-F,25.7,75,34.6,25.3,14.4,402,0.806,1102,0.545,12,0.083,0.541,0.592,20.4,9.2,3.2,1.2,0.8,2.5,29.6,23.6,32.8,9.8,116,105.6,2022-2023
,Ochai Agbaji,Uta,G,23,59,20.5,15.8,9.6,69,0.812,158,0.532,228,0.355,0.532,0.561,7.9,2,1.1,0.3,0.3,0.7,9.9,9.1,11.1,5.1,114.5,114.4,2022-2023
,Santi Aldama,Mem,F-C,22.2,77,21.8,16,10.3,144,0.75,259,0.591,266,0.353,0.56,0.591,9,4.8,1.3,0.6,0.6,0.8,13.9,10.3,15.1,7,120,105.8,2022-2023
,Nickeil Alexander-Walker,Uta,G,24.6,36,14.7,18.4,20.9,39,0.692,83,0.578,87,0.402,0.591,0.609,6.3,1.6,2.1,0.7,0.4,1.3,8,8.4,10.1,7.5,111.2,108.5,2022-2023
,Nickeil Alexander-Walker,Min,G,24.6,23,15.5,17.3,7.4,21,0.619,53,0.415,72,0.361,0.488,0.503,5.9,1.8,1.4,0.3,0.3,0.4,7.7,7.3,9.1,6.3,106.4,110.9,2022-2023
,Grayson Allen,Mil,G,27.5,72,27.4,14.6,11.4,126,0.905,191,0.518,366,0.399,0.571,0.612,10.4,3.3,2.3,0.9,0.2,1,13.7,12.7,16,6.3,123.5,110,2022-2023
,Jarrett Allen,Cle,C,25,68,32.6,16.5,12.9,221,0.733,616,0.653,10,0.1,0.645,0.67,14.3,9.8,1.7,0.8,1.2,1.4,24,15.9,25.7,7.6,133.1,105,2022-2023
,Jose Alvarado,Nor,G,25,61,21.5,19.8,14.2,80,0.813,242,0.488,247,0.336,0.496,0.525,9,2.3,3,1.1,0.2,1.3,11.3,12.1,14.4,7.4,106.6,106,2022-2023
,Kyle Anderson,Min,F-G,29.6,69,28.4,14.4,17.2,136,0.735,390,0.536,105,0.41,0.553,0.583,9.4,5.3,4.9,1.1,0.9,1.5,14.7,14.2,19.6,8.8,120.3,109.2,2022-2023
,Giannis Antetokounmpo,Mil,F,28.3,63,32.1,38.8,16.2,772,0.645,1108,0.596,171,0.275,0.571,0.605,31.1,11.8,5.7,0.8,0.8,3.9,42.9,36.8,48.6,15.9,116.8,100.6,2022-2023
,Thanasis Antetokounmpo,Mil,F,30.7,37,5.6,13.8,20.6,22,0.5,38,0.526,8,0,0.435,0.458,1.4,1.2,0.4,0.1,0.1,0.3,2.6,1.8,3,6.3,97.9,104.6,2022-2023
,Cole Anthony,Orl,G,22.9,60,25.9,21.5,13,170,0.894,404,0.5,206,0.364,0.516,0.57,13,4.8,3.9,0.6,0.5,1.5,17.8,16.9,21.7,9.6,116.8,106.3,2022-2023
,O.G. Anunoby,Tor,F,25.7,67,35.6,19.5,13,167,0.838,518,0.539,367,0.387,0.556,0.586,16.8,5,2,1.9,0.7,2,21.7,18.7,23.7,6.2,112.6,108.6,2022-2023
,Ryan Arcidiacono,Nyk,G,29,11,2.4,9.8,16.7,0,0,2,0,3,0.333,0.3,0.3,0.3,0.4,0.2,0.2,0,0.1,0.6,0.5,0.8,4.8,,,2022-2023
,Ryan Arcidiacono,Por,G,29,9,16.2,11.3,15.8,0,0,12,0.083,20,0.35,0.359,0.359,2.6,1.2,2.3,0.3,0,0.7,3.8,4.9,6.1,4.8,88.4,114,2022-2023
,Deni Avdija,Was,F,22.3,76,26.6,16.7,17.5,165,0.739,347,0.53,232,0.297,0.497,0.535,9.2,6.4,2.8,0.9,0.4,1.6,15.6,11.9,18.4,8.2,105.9,105.9,2022-2023
,Deandre Ayton,Pho,C,24.7,67,30.4,22.9,11.9,200,0.76,863,0.597,24,0.292,0.592,0.617,18,10,1.7,0.6,0.8,1.8,27.9,19.7,29.6,8.9,118.8,104.7,2022-2023
,Udoka Azubuike,Uta,C-F,23.6,36,10,11.5,20,20,0.35,72,0.819,0,0,0.819,0.774,3.5,3.3,0.3,0.2,0.4,0.5,6.8,3.8,7.1,6.1,130.8,107.4,2022-2023
,Marvin Bagley III,Det,F,24.1,42,23.6,20.5,10.7,108,0.75,317,0.577,66,0.288,0.552,0.585,12,6.4,0.9,0.5,0.7,1.1,18.4,12.9,19.3,7,117.3,112.7,2022-2023
,Patrick Baldwin Jr.,Gol,F,20.4,31,7.3,22.7,9.1,6,0.667,25,0.44,84,0.381,0.541,0.546,3.9,1.3,0.4,0.2,0.1,0.4,5.2,4.3,5.6,6.9,100.9,111.5,2022-2023
,LaMelo Ball,Cha,G,21.6,36,35.2,30,15.2,121,0.843,338,0.45,383,0.376,0.51,0.541,23.3,6.4,8.4,1.3,0.3,3.6,29.7,31.7,38.1,12.2,108.5,108.6,2022-2023
,Mo Bamba,Orl,C,24.9,40,17,16.3,9.3,51,0.686,106,0.594,108,0.398,0.596,0.613,7.3,4.6,1.1,0.3,1,0.6,11.9,8.3,12.9,7.8,125.3,102.7,2022-2023
,Mo Bamba,Lal,C,24.9,9,9.8,19.2,22.7,11,0.545,11,0.545,16,0.313,0.5,0.518,3.7,4.6,0.4,0.1,0.6,0.9,8.2,4.1,8.7,7.7,100.4,89.6,2022-2023
,Paolo Banchero,Orl,F,20.4,72,33.7,27.5,15.1,534,0.738,837,0.471,285,0.298,0.465,0.529,20,6.9,3.7,0.8,0.5,2.8,26.9,23.7,30.6,9.5,105,109.8,2022-2023
,Desmond Bane,Mem,G,24.8,58,31.8,26.1,11.8,205,0.883,532,0.534,407,0.408,0.568,0.606,21.5,5,4.4,1,0.4,2.2,26.5,25.9,30.9,9.8,118.8,107,2022-2023
,Dalano Banton,Tor,F,23.4,31,9,24.4,12.1,24,0.708,80,0.5,51,0.294,0.477,0.502,4.6,1.5,1.2,0.4,0.4,0.6,6,5.7,7.2,9,104.7,104.1,2022-2023
,Dominick Barlow,San,F,19.9,28,14.6,11.4,14.8,25,0.72,82,0.561,4,0,0.535,0.567,3.9,3.6,0.9,0.4,0.7,0.5,7.6,4.8,8.4,6.4,121.6,109.2,2022-2023
,Harrison Barnes,Sac,F,30.9,82,32.5,17.1,9.8,413,0.847,439,0.551,353,0.374,0.556,0.632,15,4.5,1.6,0.7,0.1,1,19.5,16.6,21,5.9,126.8,116.5,2022-2023
,Scottie Barnes,Tor,F,21.7,77,34.8,20.4,13.2,246,0.772,792,0.505,224,0.281,0.487,0.524,15.3,6.6,4.8,1.1,0.8,2,22,20.1,26.8,9,112.7,111.6,2022-2023
,RJ Barrett,Nyk,F-G,22.8,73,33.9,26.2,12.2,392,0.74,786,0.495,390,0.31,0.485,0.531,19.6,5.1,2.8,0.4,0.2,2.2,24.7,22.4,27.4,7.7,106.8,111.3,2022-2023
,Will Barton,Was,G,32.3,40,19.6,19.4,13.7,45,0.778,147,0.395,137,0.38,0.479,0.505,7.7,2.8,2.4,0.4,0.3,1.1,10.4,10.1,12.8,7.6,101.7,114.6,2022-2023
,Will Barton,Tor,G,32.3,16,13.2,16.7,3.6,2,1,37,0.378,42,0.333,0.443,0.451,4.5,1.6,1.1,0.7,0.2,0.2,6.1,5.6,7.2,6,104.6,109.1,2022-2023
,Charles Bassey,San,C-F,22.4,35,14.5,15.6,23.3,37,0.595,127,0.661,8,0.375,0.656,0.658,5.7,5.5,1.3,0.5,0.9,1.2,11.2,7,12.5,9.5,120.8,105.3,2022-2023
,Keita Bates-Diop,San,F,27.2,67,21.7,16.7,10.7,150,0.793,323,0.557,142,0.394,0.568,0.609,9.7,3.7,1.5,0.7,0.3,0.8,13.4,11.2,14.9,7,121.5,119.3,2022-2023
,Nicolas Batum,Lac,G-F,34.3,78,21.9,11.5,11.6,48,0.708,64,0.563,317,0.391,0.583,0.594,6.1,3.8,1.6,0.7,0.6,0.6,10,7.7,11.5,6.1,120.8,108.2,2022-2023
,Darius Bazley,Okc,F-G,22.8,36,15.4,15.7,12.2,65,0.554,113,0.469,45,0.4,0.506,0.525,5.4,3.4,0.9,0.5,0.8,0.6,8.8,6.3,9.7,6.6,108.4,110.4,2022-2023
,Darius Bazley,Pho,F-G,22.8,7,8.7,22.5,16.6,5,0.4,17,0.588,8,0.25,0.52,0.515,4,2.3,0.9,0.4,0.7,0.7,6.3,4.9,7.1,9.3,100.7,98.3,2022-2023
,Bradley Beal,Was,G,29.8,50,33.5,29.2,14.2,228,0.842,659,0.552,219,0.365,0.551,0.593,23.2,3.9,5.4,0.9,0.7,2.9,27.1,28.6,32.5,9.4,113.9,113.7,2022-2023
