rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Al Horford,Gol,*,C-F,39.6,22,19.2,16.2,13.3,10,1,39,0.462,98,0.347,0.504,0.523,6.7,4.8,1.9,0.8,1,1,11.5,8.6,13.5,8.2,109.4,108.9,2025-2026
,Gui Santos,Gol,*,F,23.6,32,11.5,14.6,21.5,24,0.667,34,0.647,57,0.351,0.571,0.591,3.8,2.4,1,0.5,0.2,0.8,6.2,4.8,7.2,7.3,112.7,105.1,2025-2026
,Will Richard,Gol,*,G,23.1,36,18.8,14.6,13.5,43,0.814,72,0.694,113,0.381,0.619,0.647,7.3,2.6,1.1,1,0.1,0.8,9.9,8.4,11,5.9,123.9,107.3,2025-2026
,Quinten Post,Gol,*,C,25.8,41,18.1,18.4,10.2,22,0.818,95,0.621,185,0.341,0.548,0.561,7.9,3.8,1.4,0.5,0.5,0.8,11.7,9.4,13.2,7.7,113.2,105.1,2025-2026
,Austin Reaves,Lal,*,G,27.6,23,35.3,28.5,16.7,197,0.873,203,0.626,170,0.365,0.59,0.666,26.6,5.2,6.3,1,0.2,3.3,31.8,32.9,38.1,10.8,127.5,114.1,2025-2026
,Rui Hachimura,Lal,*,F,27.9,28,32,14.6,8,36,0.75,151,0.576,113,0.442,0.614,0.627,12.5,3.7,0.8,0.6,0.2,0.8,16.3,13.4,17.1,4.2,121.7,116.6,2025-2026
,Deandre Ayton,Lal,*,C,27.5,34,29.3,17.5,14.8,60,0.617,321,0.682,0,0,0.682,0.684,14,8.8,0.9,0.7,1,1.6,22.7,14.9,23.6,6.6,126.6,109.8,2025-2026
,Gabe Vincent,Lal,*,G,29.6,18,20.4,11.2,6.6,8,1,16,0.25,69,0.391,0.524,0.548,5.4,0.9,1.4,0.4,0.1,0.3,6.3,6.8,7.8,3.7,119.9,112.3,2025-2026
,Luka Doncic,Lal,*,F-G,26.9,31,36.4,38.2,17,366,0.79,379,0.578,315,0.327,0.538,0.606,33.4,7.9,8.8,1.6,0.5,4.6,41.3,42.3,50.1,14.6,119.3,110.3,2025-2026
,Marcus Smart,Lal,*,G,31.9,29,28.4,15.6,18.7,55,0.927,74,0.581,148,0.304,0.498,0.552,9.4,3.1,3,1.4,0.4,1.8,12.5,12.4,15.5,6.3,109,110.6,2025-2026
,Jake LaRavia,Lal,*,F,24.2,38,27.3,15.1,12.1,75,0.733,154,0.578,135,0.341,0.547,0.576,9.8,4.3,2,1.3,0.4,1.1,14,11.7,16,6.4,120.6,111.6,2025-2026
